cas_number,inchi_key,models,name,pair_id,procurement_verified,smiles
22644-27-5,NFOQJNGQQXICBY-RXMQYKEDSA-N,"[""unifac_dortmund""]",dimethyl (r)-(+)-methylsuccinate,water-NFOQJNGQQXICBY-RXMQYKEDSA-N,False,COC(=O)C[C@@H](C)C(=O)OC
22644-28-6,MWCBGWLCXSUTHK-RXMQYKEDSA-N,"[""unifac_dortmund""]","(r)-2-methyl-1,4-butanediol",water-MWCBGWLCXSUTHK-RXMQYKEDSA-N,False,C[C@@H](CO)CCO
22645-33-6,MKNCTCDWCSUWIM-UHFFFAOYSA-N,"[""unifac_dortmund""]","cis-5-hexyl-2-methyl-1,3-dioxane",water-MKNCTCDWCSUWIM-UHFFFAOYSA-N,False,CCCCCCC1COC(C)OC1
22658-92-0,NMRPBPVERJPACX-QMMMGPOBSA-N,"[""unifac_dortmund""]",(3s)-octan-3-ol,water-NMRPBPVERJPACX-QMMMGPOBSA-N,False,CCCCC[C@@H](O)CC
22663-61-2,SCHAAFQMJJWGJM-UHFFFAOYSA-N,"[""unifac_dortmund""]",2-Methyl-1-dodecanol,water-SCHAAFQMJJWGJM-UHFFFAOYSA-N,False,CCCCCCCCCCC(C)CO
22663-64-5,BXQPYGLPOMTAPU-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-methyl-1-nonanol,water-BXQPYGLPOMTAPU-UHFFFAOYSA-N,False,CCCCCCC(C)CCO
22666-53-1,CXJOZMQAIWJYLG-UHFFFAOYSA-N,"[""unifac_dortmund""]","benzene, 1-(2,2-dimethyl-1-methylenepropyl)-4-methoxy-",water-CXJOZMQAIWJYLG-UHFFFAOYSA-N,False,C=C(c1ccc(OC)cc1)C(C)(C)C
2270-57-7,JRTBBCBDKSRRCY-UHFFFAOYSA-N,"[""unifac_dortmund""]","3,7-dimethyloct-6-en-3-ol",water-JRTBBCBDKSRRCY-UHFFFAOYSA-N,False,CCC(C)(O)CCC=C(C)C
2270-60-2,ZFLPOPCZMXGUOJ-UHFFFAOYSA-N,"[""unifac_dortmund""]",methyl citronellate,water-ZFLPOPCZMXGUOJ-UHFFFAOYSA-N,False,COC(=O)CC(C)CCC=C(C)C
22704-38-7,UGALXONOEQYOOW-FARCUNLSSA-N,"[""unifac_dortmund""]",3-(cis-ethylidene)-1-cyclopentene,water-UGALXONOEQYOOW-FARCUNLSSA-N,False,C/C=C1\C=CCC1
22748-16-9,YVFVCSCZJJGBAK-UHFFFAOYSA-N,"[""unifac_dortmund""]","4,4-dimethyl-2-cyclopenten-1-one",water-YVFVCSCZJJGBAK-UHFFFAOYSA-N,False,CC1(C)C=CC(=O)C1
22767-95-9,YQPAOLMOGAHRLG-UHFFFAOYSA-N,"[""unifac_dortmund""]",nsc406208,water-YQPAOLMOGAHRLG-UHFFFAOYSA-N,False,CC(C)OC(=O)CCc1ccccc1
22768-18-9,AAUHUDBDDBJONC-UHFFFAOYSA-N,"[""unifac_dortmund""]",3-methyl-3-heptene,water-AAUHUDBDDBJONC-UHFFFAOYSA-N,False,CCCC=C(C)CC
22769-00-2,LKMHAUSOSFYRLJ-GGWOSOGESA-N,"[""unifac_dortmund""]","cyclobutane, 1,2-dipropenyl-",water-LKMHAUSOSFYRLJ-GGWOSOGESA-N,False,C/C=C/C1CCC1/C=C/C
2277-19-2,RTNPCOBSXBGDMO-UHFFFAOYSA-N,"[""unifac_dortmund""]","6-nonenal, (6z)-",water-RTNPCOBSXBGDMO-UHFFFAOYSA-N,False,CCC=CCCCCC=O
22771-44-4,MKPMHJQMNACGDI-UHFFFAOYSA-N,"[""unifac_dortmund""]","p-mentha-2,8-dien-1-ol",water-MKPMHJQMNACGDI-UHFFFAOYSA-N,False,C=C(C)C1C=CC(C)(O)CC1
22787-68-4,RECQPQVWZPJQJO-UHFFFAOYSA-N,"[""unifac_dortmund""]",methyl 3-acetoxy-2-methylenebutyrate,water-RECQPQVWZPJQJO-UHFFFAOYSA-N,False,C=C(C(=O)OC)C(C)OC(C)=O
22808-06-6,UYWLQEPMPVDASH-UHFFFAOYSA-N,"[""unifac_dortmund""]","2,2,5,5-tetramethylhex-3-ene",water-UYWLQEPMPVDASH-UHFFFAOYSA-N,False,CC(C)(C)C=CC(C)(C)C
