comparison_allowed,context_id,endpoint_relative_error,error,heos_delta_h_j_kg,model_delta_h_j_kg,pressure_pa,status,task_key,temperature_k
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.004792394403928535,,2654615.029801866,2667336.9920152733,120100.539483,ok,82cbb97440af04b766c248d7241ec9679da165f696fe956da2b685ce99269f96,405.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005569988511059609,,2652562.250753705,2667336.9920152733,142355.189579,ok,fa831f914c2fb7d285d1d27acda16cab5c666b69f349cee5565ad7f4e041a82a,405.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.006509132597020129,,2650087.2228878275,2667336.9920152733,168733.630067,ok,1cab0a9da13d84ed37c45669d6610655ca996ffeee9400c31b59b11119dafa2b,405.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.007648864508808417,,2647089.7610900416,2667336.9920152733,200000.0,ok,135a5f5e6b2bf6dbc9b86a7cdcf879ab10116c026bafdfe3c78f080e9641b28b,405.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.003954424175510507,,2666320.352415271,2676864.1140765175,101325.0,ok,2ddd1c1ee3d018fad36ba4c147566f4a2183bac84a5867dbecf32704e8a98a9a,410.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.004561878859449253,,2664708.038807676,2676864.1140765175,120100.539483,ok,54b42ae3fc1aa4a8b96dbf6f6a941f57f0838790a80de357f0752e5d4c3f36af,410.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005292068423194296,,2662772.5396015435,2676864.1140765175,142355.189579,ok,64ef0086c2e980384ee6e7e6291618b4b43ca09a96d8bc09016eb44e153a4038,410.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.006172355188966305,,2660442.915442438,2676864.1140765175,168733.630067,ok,35006d5348065d88fe9165c8b27f3a88f55148cf6497e538faf05a60c3432542,410.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.007237703138001539,,2657628.9844362196,2676864.1140765175,200000.0,ok,e9fe100cf7ad24bf0c636c374698c06ba84d3da922e7c05be0fea8bd02990afa,410.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.003778402352279109,,2676291.3245944064,2686403.4300306384,101325.0,ok,320d0b0ab347765b3ca5ff1b8152f900805880fc23eade9ed087048512d1085f,415.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.004350765180449745,,2674766.150596776,2686403.4300306384,120100.539483,ok,ce6b0254152d1fcd9cc47c7ff5797da5d93e81d68f91cc94940d78e05a9fc1af,415.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005038008731501176,,2672937.149333542,2686403.4300306384,142355.189579,ok,eae9e467006d460cbe134af21f4066ca8cf39d05f7aaf9a5dd821f68adbe5e37,415.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.005865315905641211,,2670738.703831245,2686403.4300306384,168733.630067,ok,747c2b32b840ad6ed3e19bbc9a5bc6797291307544dcbfa4256fd559ac98a236,415.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.006864495838375673,,2668088.3486648104,2686403.4300306384,200000.0,ok,a3a9fc7e31c6331da6321620a80d844c1ba5835dc0e2cdfffa7ad463d844c2b1,415.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.003616559131906172,,2686240.1789238313,2695955.1253734115,101325.0,ok,4ecc03a7fa70bf7d6c92a0734ff864e29e47a0a75ca3d7d89eea3a83df919292,420.0
True,1ddb26075ac889f817d4df2ff7e863d06760fe5fc1e24a1a7f9b9d44508e6436,0.004156895763073765,,2684794.7136037094,2695955.1253734115,120100.539483,ok,a6034239eda2fc194c03bc9f6062f29bf8be1cb163260b03f5072de2fa0ae5be,420.0
